glyph	telugu	confidence	seen
)	)	1.000	26.17
Æð	రెండ	1.000	25.82
$Ð	ు	0.918	25.47
Ù		1.000	25.39
í³	పి	1.000	25.28
Ü$	సు	0.985	25.27
BÐð	ఆమె	1.000	24.97
Æÿ$	యి	1.000	24.94
Ðèþ*	మా	1.000	24.91
f	జ	1.000	24.89
¯èþ²	న్న	1.000	24.67
F	ఊ	0.928	24.46
GÐè	ఎవరు	0.625	24.29
èþ#		0.936	24.21
tÆ	టరు	1.000	24.09
Ñ$	మి	1.000	24.07
(	(	1.000	23.93
Ðéâ	వాళ్	0.536	23.54
ZÏ	ట్లో	0.805	23.38
†¯	తిన	1.000	23.23
Væü$	గు	1.000	23.14
;	;	1.000	23.14
§æþ$	దు	1.000	22.58
BÄæ	ఆయన	0.868	22.54
²y	ాడు	1.000	22.47
Ò$Æ	మీరు	1.000	22.39
G…	ఎం	1.000	22.18
ÿ$$	యి	0.728	22.12
þ^	వచ్చ	1.000	22.03
³š	ప్పు	0.994	21.87
þË	ల	1.000	21.67
*ç	మాష్	1.000	21.67
*Å	య్యా	1.000	21.6
ï		0.986	21.56
ý$å	ళ్ళు	0.927	21.4
Py	క్కడ	0.979	21.4
…¨.	ంది.	1.000	21.39
…™	ంత	1.000	21.38
Ã	మ్ము	0.862	21.2
ý*		1.000	21.18
þ#Ó	వ్వు	1.000	21.06
éy	వాడు	1.000	20.97
ÿ…	రం	0.701	20.74
A…	అం	1.000	20.68
þ$¯	మన	1.000	20.57
þ_	వచ్చ	0.927	20.49
ü*	కూ	1.000	20.48
…y		0.943	20.32
êÏ	ట్లా	0.999	20.23
™ðþ	తె	1.000	20.22
yéM	డాక్	1.000	19.76
Œ		1.000	19.7
$¢	తు	0.996	19.56
þÇ	వరి	0.999	19.46
©	దీ	1.000	19.44
‹	స్	1.000	19.21
éÅ	యార్	1.000	19.12
Cç	ఇప్	1.000	18.96
ç³š	ప్పు	1.000	18.91
ôý	లే	0.992	18.86
r$t	ట్టు	0.731	18.84
çÜ$	సు	1.000	18.76
$È	కుర్	1.000	18.64
²¯	ాను	0.998	18.57
$…¨	మంది	1.000	18.52
Äæý		0.999	18.49
üË	కల	1.000	18.39
³Æ	పేరు	0.946	18.32
Æÿ$$	యి	1.000	18.26
A™è	అత	1.000	18.21
¢M	తక	1.000	18.21
õ³Æ	పేరు	0.941	18.18
J…	ఒం	1.000	18.18
#ç	పుస్	1.000	18.15
….	ం.	1.000	17.99
ïÜ	సీ	1.000	17.99
¡ç	తీసు	0.917	17.98
¯ó	నే	1.000	17.93
ÿ$.	రు.	0.961	17.86
$t	టు	0.819	17.86
²Æ	ారు	0.750	17.82
$¯è		0.613	17.74
HÑ	ఏమి	0.781	17.6
A¯è	అన	0.997	17.41
µ	ప	0.880	17.38
æþ$.	.	0.952	17.33
H¨	ఏది	1.000	17.25
ôý§	లేదు	1.000	17.14
…s	ం	1.000	17.1
…^	ంచు	1.000	17.09
E…¨	ఉంది	1.000	17.07
™ø	తో	1.000	17.06
sêÏ	ట్లా	1.000	16.87
AMæ	అ	0.889	16.86
$¯é	ున్న	1.000	16.85
™ó	తే	1.000	16.82
Ë$.	లు.	1.000	16.81
‹Ü	స్	1.000	16.75
r$	టు	0.999	16.64
ÿ$?	వరు?	0.897	16.58
éÆ	వారు	0.639	16.56
øa	చో	0.996	16.54
þV		1.000	16.39
$…_	మంచి	1.000	16.36
$Mæ	కు	1.000	16.31
ç³#ç	పుస్	1.000	16.21
³#ç	పుస్	1.000	16.21
ý§æ	లేదు	1.000	16.15
ðþ$		0.915	16.11
âæý		1.000	16.01
ý$Ï	ళ్ళు	0.393	16.01
GÐèþ	ఎవ	0.805	15.98
üÌ	కలా	0.829	15.97
Ñf	విజయ	1.000	15.79
Ðéy	వాడు	1.000	15.74
Ìôý	లే	0.999	15.73
…r	ంట	0.876	15.68
$²	న్ను	1.000	15.54
…§	ందు	0.989	15.51
$Ææ	రు	0.954	15.5
$/	/	1.000	15.39
™óþ	తే	1.000	15.35
Ððþ$	మె	1.000	15.3
Ðèþ#	వు	1.000	15.29
ò³§	పెద్	1.000	15.26
Ay	అడ	0.999	15.2
ò³	పెట్	0.998	15.18
¾	బా	0.844	15.03
WÇ	గిరి	1.000	15.01
¡çÜ	తీసు	0.972	14.97
Ððþâ	వెళ్	1.000	14.9
²…	్నం	1.000	14.9
DÐ	ఈమె	1.000	14.83
Ðó	మేం	0.801	14.78
Í²	ల్ని	1.000	14.76
üË…	కలం	1.000	14.75
r…	టం	0.997	14.75
èþ…	ం	0.888	14.74
ðþâ	వెళ్	1.000	14.71
æüP	క్క	0.981	14.7
$Væ	ుగు	0.999	14.69
Ü¢	తక	0.997	14.68
éÅÇ	యార్	1.000	14.44
^ó	చే	0.987	14.32
ñý		1.000	14.3
AÐ	అ	0.562	14.28
$$Å	య్యి	1.000	14.27
ºËÏ	బల్ల	1.000	14.23
^èþ*	చూ	1.000	14.21
èþÆ		0.999	14.16
þ¯è	ను	1.000	14.03
§ó	దే	1.000	13.91
¯ð	నె	1.000	13.9
…yì	ండి	1.000	13.9
aË	చీలు	1.000	13.79
>§	కాదు	1.000	13.78
Y	గ్గర	0.735	13.71
A°	అని	1.000	13.7
æü…	ం	1.000	13.65
éâæ	వా	0.657	13.65
ðÿ…	రెం	1.000	13.64
èþ$…	మం	1.000	13.62
X	గీ	1.000	13.61
²¨	్నది	1.000	13.53
C§	ఇద	0.976	13.52
^é	చా	1.000	13.46
$Ã	మ్ము	0.993	13.42
Æðÿ…	రెం	1.000	13.36
èþ¯	ను	1.000	13.23
ýå	ళ	0.702	13.2
DÄ	ఈయన	1.000	13.19
²Æÿ	ాయి	1.000	13.11
_a	చ్చి	1.000	13.11
þÐè		0.996	13.1
JMæ	ఒక	1.000	12.97
þç	వస్త	0.612	12.93
çÙ	ష్	1.000	12.92
æÿ…	రం	1.000	12.85
CÐó	ఇవ	1.000	12.84
$Mø	కో	1.000	12.83
tÆæ	టరు	1.000	12.74
þÆæ		0.995	12.71
$*	మూ	1.000	12.71
BÐðþ	ఆమె	1.000	12.69
ýt	టె	1.000	12.61
$Ðè	ు	0.916	12.55
*Æ	కూర్	1.000	12.53
šy	పుడు	0.885	12.48
üPy	క్కడ	1.000	12.48
ý$Å	య్య	1.000	12.4
ý$¯		0.756	12.34
$¯èþ		0.722	12.29
…yìþ	ండి	1.000	12.27
óþ$	మే	1.000	12.25
¯óþ	నే	1.000	12.24
íÜ	సి	1.000	12.23
ÐéÆ	వారు	1.000	12.21
Ìôý§	లేదు	1.000	12.17
ðÿ	రెండ	0.930	12.14
$a	ు	0.800	12.13
ª	ద్దు	0.501	12.05
k	జు	1.000	12.03
Ðóþ$	మే	1.000	11.95
BÄæý	ఆయన	1.000	11.92
Æðÿ	రెండ	0.937	11.9
Ò$Ææ	మీరు	1.000	11.88
sZÏ	ట్లో	0.879	11.88
†¯è	తిన	1.000	11.87
ß		1.000	11.82
þ*ç	మాష్	1.000	11.75
Cç³	ఇప్	1.000	11.73
Ïy	లాడ	1.000	11.72
AÄ	అయ్య	0.994	11.69
ýM	లేక	1.000	11.68
³µ	ప్ప	0.998	11.67
*Ã	మ్మా	1.000	11.65
>Ð	రా	0.638	11.63
Ë$?	లు?	1.000	11.63
Ðéâæ	వాళ్	0.762	11.61
Ðèþ$…	మం	1.000	11.6
þa	ే	0.766	11.56
¿		1.000	11.53
Ý		0.740	11.5
K	ఓ	1.000	11.5
*y	మూడు	0.468	11.47
èþÐ		0.997	11.46
ÿÐ		0.786	11.43
yó	డే	1.000	11.41
óþ$…	మేం	1.000	11.38
þ¢	్త	1.000	11.35
a…	ిం	1.000	11.35
Œý		0.993	11.34
ÅÆ	యార్	1.000	11.34
²yæ	ాడు	1.000	11.34
æý$å	ళ్ళు	0.926	11.31
Ðóþ	మేం	0.856	11.3
»ê	బా	0.990	11.22
Ðóþ$…	మేం	1.000	11.08
yæþº	డబ్బ	1.000	11.08
ÎË	లీల	1.000	11.05
ý*Å	య్యా	1.000	11.05
þ§	చదువ	0.962	11.01
>Æ	గారు	0.914	11.0
èþ^	వచ్చ	1.000	10.96
§é°	దాని	1.000	10.94
³Ë	ల	1.000	10.9
þ$$	ము	0.981	10.72
…™è	ంత	1.000	10.67
…yæ	ు	1.000	10.66
Ç¢	తి	1.000	10.66
Äæý$	య	0.992	10.63
Æ>Ð	రామ	0.590	10.6
èþ#Ó	వ్వు	1.000	10.57
CÆ	ఇరవై	0.859	10.55
ÍÏ	ల్లి	1.000	10.52
éyæ	వాడు	1.000	10.52
þ$¯è	మన	1.000	10.5
Í.	లి.	0.999	10.49
^óþ	చే	1.000	10.48
Ùt	టరు	1.000	10.44
æü*	కూ	1.000	10.38
aË$	చీలు	1.000	10.37
Ñy	విడ	1.000	10.36
a.	ు.	0.840	10.32
Ðèþ_	వచ్చ	0.927	10.31
JMæü	ఒక	1.000	10.27
yéMæ	డాక్	1.000	10.24
AÆ	అయి	0.536	10.24
ü$È	కుర్	1.000	10.23
èþ$¯	మన	0.979	10.22
þâæ	వెళ్	1.000	10.2
sî	టీ	1.000	10.18
èþ_	వచ్చ	0.927	10.18
¯èþ$Ð	ను	1.000	10.14
ç³°	పని	1.000	10.08
³°	పని	1.000	10.08
$™	త	0.873	10.05
BÐðþ$	ఆమె	1.000	10.05
*s	మాట్	0.884	10.03
'		0.986	9.99
Æø	రో	0.934	9.97
ª…	దాం	0.997	9.97
ýÏ	ల	0.985	9.95
*çÙ	మాష్	1.000	9.94
Ðèþ^	వచ్చ	1.000	9.92
²¯è	ాను	0.998	9.9
Ü¢M	తక	0.997	9.87
þ$…¨	మంది	1.000	9.85
Ðèþ$¯	మన	1.000	9.78
²Ææ	ారు	0.996	9.78
³Ææ	పేరు	0.999	9.77
þ$Ð	ను	0.438	9.76
sñ		1.000	9.74
*yé	కూడా	0.990	9.73
Ç¦	థి	0.537	9.72
>Ë	ాలు	1.000	9.71
õ³Ææ	పేరు	0.999	9.7
èþÇ	వరి	0.999	9.7
ÐèþÇ	వరి	1.000	9.69
GM	ఎక్క	0.649	9.66
ç³µ	ప్ప	1.000	9.57
ÿ$$Å	య్యి	1.000	9.57
þO	రవై	0.628	9.56
HÑ$	ఏమి	1.000	9.51
HÐ	ఏమ	0.973	9.5
G…™		0.828	9.5
ý?	టి?	0.627	9.45
MæüP	పక్క	0.620	9.45
çÜ¢	స్తక	1.000	9.41
Mæü*	కూ	1.000	9.36
Òâ	వీళ్	0.744	9.34
$Mæü	కు	1.000	9.32
M>§	కాదు	1.000	9.32
ÏË	్లలు	1.000	9.3
Aç	అప్	1.000	9.29
MæüË	కల	1.000	9.22
æÿ$.	రు.	0.997	9.22
>°	గాని	0.674	9.21
æüË	కల	1.000	9.17
î	ండీ	0.658	9.17
»ê¾	బ్బా	1.000	9.17
Æøa	ర్చో	1.000	9.12
GÐèþÇ	ఎవరి	1.000	9.09
Gç	ఎప్	1.000	9.08
ìý?	టి?	1.000	9.05
þç³	ప్	0.905	9.04
©ª	ద్దీ	1.000	9.0
Ë™	లత	1.000	8.99
ëÌ	పాల్	1.000	8.94
þ$…_	మంచి	1.000	8.93
Ñ°	విని	1.000	8.93
Î	లీ	1.000	8.91
ÑfÄ	విజయ	1.000	8.91
ýO		1.000	8.87
fÄ	జయ	1.000	8.84
YÆ	గ్గర	1.000	8.84
$Væü	ుగు	0.999	8.81
éÆæ	వారు	0.997	8.76
^ðþç	చెప్	0.998	8.72
G°	ఎన్న	1.000	8.72
§óþ	దే	1.000	8.68
…^è	ంచు	1.000	8.67
ðþç	చెప్	0.998	8.66
ê¾	బ్బా	0.632	8.62
CM	ఇ	0.758	8.6
yóþ	డే	1.000	8.6
{		1.000	8.59
æý$Ï	ళ్ళు	0.533	8.59
yî	డీ	1.000	8.58
èþ$Ð	ను	1.000	8.58
îü	కీ	1.000	8.53
êË	లు	0.991	8.53
¢¯	తున్	0.565	8.51
Væü…	గం	1.000	8.48
¢…	్తం	1.000	8.44
æÿ$?	వరు?	0.895	8.39
¦Ë	థులు	1.000	8.36
a…¨	ింది	1.000	8.36
…yé	ండా	0.967	8.35
þr	ట	0.996	8.33
þÄ		1.000	8.32
ý§æþ	లేదు	1.000	8.31
$þ		0.998	8.31
þÓ	్వేళ	1.000	8.28
²Æÿ$	ాయి	1.000	8.26
þ°	ని	1.000	8.25
°.	ని.	1.000	8.23
ü´		0.997	8.22
ÿV>	రగా	1.000	8.22
§ø	దో	1.000	8.2
^èþ§	చదువ	1.000	8.17
èþ§	చదువ	1.000	8.11
ôý§æ	లేదు	1.000	8.05
ñý*	యో	1.000	8.05
GÐèþÆ	ఎవరు	0.939	8.03
MæüÌ	కలా	0.829	8.01
V>°	గాని	1.000	8.01
þ!	!	0.907	8.0
þ$²	న్ను	1.000	7.99
ÐèþÆ	వరు	0.625	7.97
üY	గ్గర	0.788	7.97
æüÌ	కలా	0.829	7.97
$Ææÿ	రు	0.963	7.95
¯èþ…	మనం	0.790	7.92
E…y	ఉండ	1.000	7.92
Ðéyæ	వాడు	1.000	7.91
V>Æ	గారు	1.000	7.9
þVæ		1.000	7.89
œ		1.000	7.87
†…	తిం	1.000	7.86
{†	త్రి	1.000	7.86
Ý÷	సొ	1.000	7.85
yø	డో	1.000	7.83
Èa	ర్చీ	1.000	7.82
…§æ	ందు	0.999	7.82
ïÜ™	సీత	1.000	7.81
»Z	బో	1.000	7.81
yæþ$.	డు	0.589	7.8
{í	ప్రి	1.000	7.79
þ$a	ు	1.000	7.74
©°	దీని	1.000	7.72
Ü™	సీత	1.000	7.69
…™èþ	ంత	1.000	7.67
³…	పం	1.000	7.64
¦°	థిని	1.000	7.63
íß	హి	1.000	7.63
ò³§æ	పెద్	1.000	7.62
æþ*	ూ	1.000	7.62
DÐð	ఈమె	1.000	7.59
$Væü$	ుగు	1.000	7.54
þ.	.	1.000	7.51
$Vø	ుగో	1.000	7.5
$ç	ు	0.959	7.49
é!	ా!	1.000	7.49
¯éË	నాల	1.000	7.48
^èþ$	చు	1.000	7.48
üÌê	కలా	0.965	7.45
Pyæ	క్కడ	0.979	7.42
$Ææÿ$	రు	0.916	7.4
MæüË…	కలం	1.000	7.39
þçÜ	వస్త	0.997	7.38
ðþ*	మో	1.000	7.37
æüË…	కలం	1.000	7.36
Pyæþ	క్కడ	0.977	7.36
×		1.000	7.35
Vøþ	గో	0.985	7.33
$Ë	కమల	0.636	7.26
Æøl	రోజూ	0.792	7.2
øl	రోజూ	0.792	7.2
A¯èþ	అన	0.915	7.18
§æþV	ద	0.664	7.18
»êV	బాగు	1.000	7.17
êV	బాగు	1.000	7.17
G…§	ఎందు	1.000	7.14
óÿ	రే	0.999	7.13
Ææÿ$.	రు.	1.000	7.12
æþV		0.988	7.11
ÿ…y	ు	0.978	7.07
¡çÜ$	తీసు	0.875	7.06
I	ఐ	0.960	7.05
C…s	ఇం	1.000	7.04
þ¯èþ	ను	1.000	7.03
$)	)	1.000	7.0
ç³¨	పది	1.000	7.0
³¨	పది	1.000	7.0
™èþ¯	తను	1.000	6.97
AÐè	అ	0.893	6.96
J…s	ఒం	0.957	6.95
ü…r	గంట	1.000	6.93
e		0.567	6.93
$¯èþ²	ున్న	1.000	6.93
ÏV>	్లగా	1.000	6.93
þ$*	మూ	1.000	6.92
º$¾	బ్బు	1.000	6.92
ÙtÆ	టరు	1.000	6.9
,	,	0.977	6.9
þ²…	్నం	0.999	6.88
Ðèþç	వస్త	1.000	6.88
ü*Æ	కూర్	1.000	6.86
$$Ã	మ్ము	1.000	6.86
AÌ	అలా	1.000	6.85
…r$	ంటు	1.000	6.82
æýå	ళ్ళ	0.520	6.81
Ayæ	అడ	0.973	6.8
èþç	వస్త	1.000	6.8
Ë$Ï	ల్లు	1.000	6.79
#çÜ	పుస్	0.841	6.78
>§æ	కాదు	1.000	6.78
AÄæ	అయ్య	1.000	6.76
óþa	ే	1.000	6.75
ªÆ	్దరు	0.790	6.73
í³Ë	పిల	1.000	6.73
*¢	ూ	0.988	6.73
AMæü	అ	0.527	6.7
èþ¯è	ను	1.000	6.69
ÌŒ	ల్	0.952	6.69
DÄæ	ఈయన	1.000	6.68
Ððþ*	మో	1.000	6.68
^ðþç³	చెప్	1.000	6.67
$*y	మూడు	1.000	6.66
$ü		0.997	6.66
þM	కు	0.994	6.65
ÏË$	్లలు	0.995	6.64
ðþç³	చెప్	1.000	6.62
Œþa	చ్చ్	0.839	6.62
þ¯èþ$	ను	1.000	6.61
GÌê	ఎలా	0.772	6.61
tÆæÿ	టరు	1.000	6.6
GÌ	ఎలా	0.774	6.6
…sì	ంటి	1.000	6.6
þ$¯èþ	మన	1.000	6.59
ü¨	గది	1.000	6.59
BM	ఆక	0.884	6.59
³r		1.000	6.58
í³µ	ప్పి	1.000	6.57
ÌêV>	లాగా	1.000	6.55
~	ణ్ణి	1.000	6.55
ç³y	పడ	0.929	6.54
³y	పడ	0.929	6.54
$Ë$	ులు	0.972	6.51
/Ð	/	1.000	6.51
Ô		0.992	6.5
$¦	థు	1.000	6.5
óü	ే	1.000	6.49
æý$¯		0.850	6.47
By	ఆడ	1.000	6.47
ÐéÆæ	వారు	1.000	6.47
…¨?	(4)	0.250	6.46
C§æ	ఇద	0.935	6.43
ÐéÍ	వాలి	1.000	6.43
¨?	ది?	0.997	6.42
$Ðèþ	ు	0.927	6.4
Ñ$s	మి	0.977	6.38
yîþ	డీ	1.000	6.38
$´	ముప్	1.000	6.38
ç³…	పం	1.000	6.37
æý$Å	య్య	1.000	6.37
ñýt	టె	1.000	6.35
éË	నాల	1.000	6.33
çÜ¢M	స్తక	1.000	6.32
¯ðþ	నె	1.000	6.31
þ²¨	్నది	1.000	6.31
þ^è	వచ్చ	1.000	6.3
Äæý$¯	యన	1.000	6.29
ßý	హ	0.999	6.28
šyæ	పుడు	0.876	6.27
é¢	్తా	1.000	6.27
êV>	బాగా	0.704	6.25
ÌŒý	ల్	0.992	6.23
þ*y	చూడు	0.681	6.23
AÆÿ	అయి	0.582	6.23
êÏy	లాడ	1.000	6.23
