page	y	legacy	rom	te
2	537.8	´ëç³ MìüsìýMîüË$ ™ðþÆæÿÐèþr… Ìôý§æþ$.		లక్ష్మీ! వరండా నేను ఊడవను;
2	537.8	ËMîü‡! ÐèþÆæÿ…yé ¯óþ¯èþ$ FyæþÐèþ¯èþ$;		లక్ష్మీ! వరండా నేను ఊడవను;
2	554.3	çÜÆæÿâê!  MìüsìýMîüË$ ™ðþÆæÿ$!		నువ్వు ఊడు!
2	554.3	¯èþ$Ðèþ#Ó Fyæþ$!		నువ్వు ఊడు!
2	587.5	»êº$ ÆæÿÑ° í³Í^éyæþ$.		కమలా! తొందరగా లే!
2	587.5	ÔèýÆæÿÃ Ìôý^éyæþ$.		కమలా! తొందరగా లే!
2	587.5	MæüÐèþ$Ìê!  ™ö…§æþÆæÿV> Ìôý!		కమలా! తొందరగా లే!
2	604.1	ÔèýÆæÿÃ ÆæÿÑ° í³Ë$Ýë¢yæþ$.		సరళ లేవటంలేదు. _ మీరు లేవండీ.
2	604.1	çÜÆæÿâæý ÌôýÐèþr…Ìôý§æþ$. Ò$Ææÿ$ ÌôýÐèþ…yîþ.		సరళ లేవటంలేదు. _ మీరు లేవండీ.
2	620.6	çÜÆæÿâæý MæüÐèþ$Ë¯èþ$ í³ËÐèþ§æþ$. ¯èþ$Ðèþ#Ó ÌôýÐèþMæü$.		ఎవరు లేస్తారు?
2	620.6	GÐèþÆæÿ$ ÌôýÝë¢Ææÿ$?		ఎవరు లేస్తారు?
2	637.2	çÜÆæÿâê!  MæüÐèþ$Ë¯èþ$ í³Ë$!		రవి లేవాలి.
2	637.2	ÆæÿÑ ÌôýÐéÍ.		రవి లేవాలి.
3	184.9	Ðèþ*sêÏyæþ$™èþ$¯é²yæþ$.		మాట్లాడుతున్నాడు.
3	202.6	AsêÏÐèþ*sêÏyæþ$™èþ$¯é²yæþ$.		అట్లామాట్లాడుతున్నాడు.
3	220.3	FÇMðü¯óþ AsêÏÐèþ*sêÏyæþ$™èþ$¯é²yæþ$.		ఊరికెనే అట్లామాట్లాడుతున్నాడు.
3	238.0	Ððþ$$¯èþ²sìý °…_ FÇMðü¯óþ AsêÏ Ðèþ*sêÏyæþ$™èþ$¯é²yæþ$.		మొన్నటి నించి ఊరికెనే అట్లా మాట్లాడుతున్నాడు.
3	255.6	G…§æþ$Mø Ððþ$$¯èþ²sìý°…_ FÇMðü¯óþ AsêÏÐèþ*sêÏyæþ$™èþ$¯é²yæþ$.		ఎందుకో మొన్నటినించి ఊరికెనే అట్లామాట్లాడుతున్నాడు.
3	328.9	MæüÐèþ$Ë ¯èþyìþ_…¨.		శర్మ ఊరికినే వెళ్ళాడు.
3	328.9	ÔèýÆæÿÃ FÇMìü¯óþ Ððþâêåyæþ$.		శర్మ ఊరికినే వెళ్ళాడు.
3	345.5	í³Ë$^Œþ		రా
3	345.5	Æ>		రా
3	362.1	MæüÐèþ$Ë í³Í_…¨.		శర్మ ఊరికినే వచ్చాడు.
3	362.1	ÔèýÆæÿÃ FÇMìü¯óþ Ðèþ^éayæþ$.		శర్మ ఊరికినే వచ్చాడు.
3	378.7	™èþ$yæþ$^Œþ		ఏడుచ్‌
3	378.7	Hyæþ$^Œþ		ఏడుచ్‌
3	395.2	Ìôý^Œþ		పిలుచ్‌
3	395.2	í³Ë$^Œþ		పిలుచ్‌
3	411.8	Fyæþ$^Œþ		పలుకు
3	411.8	ç³Ë$Mæü$		పలుకు
3	428.4	Hyæþ$^Œþ		లేవ్‌
3	428.4	Ìôý^Œþ		లేవ్‌
3	445.0	™ðþÆæÿ$^Œþ		తుడుచ్‌
3	445.0	™èþ$yæþ$^Œþ		తుడుచ్‌
3	494.7	MæüÐèþ$Ë ^èþ§æþ$Ðèþ#™èþ$¯èþ²¨.		శర్మ ఇంకా చదవటంలేదు.
3	494.7	ÔèýÆæÿÃ C…M> ^èþ§æþÐèþr…Ìôý§æþ$.		శర్మ ఇంకా చదవటంలేదు.
3	511.2	í³Ë$^Œþ		నడుచ్‌
3	511.2	¯èþyæþ$^Œþ		నడుచ్‌
3	527.8	MæüÐèþ$Ë í³Ë$çÜ$¢¯èþ²¨.		శర్మ ఇంకా నడవటం లేదు.
3	527.8	ÔèýÆæÿÃ C…M> ¯èþyæþÐèþr… Ìôý§æþ$.		శర్మ ఇంకా నడవటం లేదు.
3	545.9	Fyæþ$^Œþ		లేచ్‌
3	545.9	Ìôý^Œþ		లేచ్‌
3	564.7	Hyæþ$^Œþ		పలుకు
3	564.7	ç³Ë$Mæü$		పలుకు
3	583.5	Ìôý^Œþ		ఏడుచ్‌
3	583.5	Hyæþ$^Œþ		ఏడుచ్‌
3	602.3	™èþ$yæþ$^Œþ		తెరుచ్‌
3	602.3	™ðþÆæÿ$^Œþ		తెరుచ్‌
4	183.3	MæüÐèþ$Ë Hyæþ$çÜ*¢ ÐèþçÜ$¢¯èþ²§é?  (Byæþ$)		కమల ఏడుస్తూ వస్తున్నదా? (ఆడు)
4	199.2	MæüÐèþ$Ë Hyæþ$çÜ*¢ Æ>Ðèþr… Ìôý§æþ$.  Byæþ$™èþ*ÐèþçÜ$¢¯èþ²¨.		కమల ఏడుస్తూ రావటం లేదు. ఆడుతూవస్తున్నది.
