guid	te_sha1
Me9dfa9af5f02	1784c6e9885334dc
M41dc51e5bffe	0b551d02f186ccbb
Mce4b56c68cc6	9fea3b887b930747
M80f643e0f3e3	773da431cbb15b36
Mfc0fc617abdd	9077de2819663f11
M539a50ee5949	f8613b7d7d77f5b9
M77383f958096	36a2d1c46ac6985f
M8e2da61aa171	a375ae8da27b4afc
M3bd5efcd318b	649e9695835dd332
M1ce57cf5fb8d	e32501d1551c83f2
M0f7b18e561d1	2ee9bd6282892bf7
M35cb8c4ef3af	5d1f92c71513e79c
M952313ce5074	2c8f8ec21d28f699
Me37bac4abc34	8e4a64545413962d
M325df838e405	a0eae86397203b89
M5fa338ee705e	9406c3a281197920
Me8f5d3c811a0	053103c06405e8d7
Me8120b031b8e	0a5e4cf5ea02c73e
M600055516098	7d86b1cbf41fa51d
M55c3d5f454d7	9590b9b00dcd5cb6
M4858a3dc0b78	2d857c24c9bad356
M81e7bdcbf5b1	ca26ede22fe896ff
M944a2568215a	85e1f1bbefc2a768
Mf566b4607efc	a86dcc4607dd1047
M5d6e7e722ec0	4d4ea462190583d3
Mb44a42902f46	c3ad20b844f05862
Mab6ac69cd3ee	56850d070597c2a7
M527aa7b9a193	ccbd0c57755d5097
Me7d027d50f27	83fbb0a2dd4bb5b5
Mb78f1b3fb3b5	70aa6871e143230b
M515c092fc84f	8445f693e9d11074
Mcdabfe3c889f	1ebfba199c615170
M9f8d83091bd6	9120ce4b97266189
Mb2d2d6db1cbc	3b5a7d58c71a63a8
M8c4cced3b8d6	67c44d1ace11556c
M1e1c4fbe3dcb	fef870ab36c5120b
M778832704e29	cd0a37db514c2c45
M2b60baa095bc	e195bd6d3daf4e3c
M448c59446a1a	ca7aa502bc5dc8b2
M9ee5a507ebab	07ead9e6ca84e83e
M179ee1a0c740	2f417a42a898e142
Md585b0658727	50a74103c6230c80
M902a6de03153	1fcadf46fd5f4ead
M1738d7593777	81a2f8cb3fd0cab8
M1d52df997c3c	fbabddaed7bfd711
M6f785000fb56	1e845fbfcb9c8906
Mdd4ab580e417	d8507a90b309c265
Ma43404cd274b	b7a3fc84e6aebdf0
M59c4ef223e95	e457cd7e57b96c77
Mae1475ed3503	2989e00428897966
M430f729e114b	4151c96bc32e13bf
Med5880a7ae78	4f09df488eb4cc4a
Mab793095c316	a624c3358340427d
M0f0d4738a9a3	0116751077243522
M65c1ca6f20e9	fbabddaed7bfd711
M7f1a9461d8f5	1e845fbfcb9c8906
M9588bbac3eef	7846ea2b31dbe4b4
M24726d63a47c	7c1da924ff5a742e
M73c93d1dfb8f	e457cd7e57b96c77
Mfdccfbd52c74	2989e00428897966
Mcb5ecc6ac627	75a432aef5bfa1e0
Mf0fccec5ba3c	e6714a60472ac6d7
M0301635ed4ba	3d621d375b25d6e2
M2ee5c50cfcf1	c4a7511839e82a95
Ma2d62327fd95	7755a503cb664a6b
M926a6ddad4a9	d90bb4df7c6f99ad
Mc050b3c7bc11	eab923c86b85013e
Mb4a5c5dc7a23	736394f33c0111be
Ma807b013d0f3	e51d685ecbd9680e
Mbc87661aeb09	24eaabc6df269f9e
M341d2d02b32b	b4b0be94d3e4f37c
M404f80195bf2	21f4e5ae09571924
Mb131de145fea	dee29b6579bc8a2a
Mb210f37165a3	ebc894c8a52b8a21
Ma3da152dc3ea	14ee5bac8a4f4cd7
Mb5dc6c6c650a	da68c83873e34750
M0e79c6bafa76	0f8fac4611df0648
Meda153d2fcc4	b70013921d142468
M448790f176a4	bfdfddcb52490097
M656228cec7b4	7ac8d4ff1aecf008
M0c6210b3d16d	744b0847504c2f4e
M7e5ef182eb99	8e2486665fbd26f9
M15b34115842d	036d3459ced98dd1
Mf9530400a8d8	a26868b7050bb0dd
Me8eb1d8d4dab	4151c96bc32e13bf
M7573e41adc24	4772c2bce7aae229
Mec1c434fed32	575b62ad3b270c39
M5cdbf4f72aee	b770aa4db3877c8c
