legacy	rom
AMæüPgñýÌñýÏâæý$å	akkajelleḷḷu
A¯èþ²§æþÐèþ$$ÃË$	annadammulu
AÆæÿÐðþO	aravai
yðþ»ñýOÂ	ḍebbhai
G¯èþ¿ñýO	enabhai
™ö…¿ñýO	toṁbhai
¯èþ*Ææÿ$	nūru
AÆæÿÐðþOJMæüsìý	aravaiokaṭi
yðþ»ñýOüÂÐèþ$*yæþ$	ḍebbhaimūḍu
G¯èþ¿ñýOBÆæÿ$	enabaiāru
™ö…¿ñýOG°Ñ$¨	toṁbhaienimidi
¯èþ*sìý	nūṭi
M>°	kāni
…sŒý	ṁṭ
™ðþË$Væü$Ðéyæþ$	teluguvāḍu
Ðèþ$Æ>w¨	marāṭīdi
çßýÆ>Å¯éÐéÆæÿ$	haryānāvāru
JÇÝëÞÐéâæý$å	orissāvāḷḷu
°	ni
ÌZ	lō
JMæü×ìý~	okaṇṇi
¯óþ¯èþ$	nēnu
HÐóþ$…	ēmēṁ
…	ṁ
G{ÆæÿÑ	erravi
ò³§æþª¨	peddadi
E¯èþ²¨	unnadi
CMæü/C…Mæü	ika/iṁka
Aº¾	abba
´ëuæÿ…	pāṭhaṁ
HÐðþ*	ēmō
^èþ§æþ$Ðèþ#	caduvu
Ððþ™èþ$Mæü$	vetuku
FâZå	ūḷḷō
C…sZÏ	iṁṭlō
Mæü$Èa¯é	kurcīnā
fÆæÿ$Væü$	jarugu
¯èþ	na
™éÈMæü$	tārīku
Æøk	rōju
»êV>	bāgā
^éÌê	cālā
M>ÐéÍ	kāvāli
J§æþ$ª	oddu
E¯é²¯èþ$	unnānu
E¯é²Ðèþ#	unnāvu
E¯é²yæþ$	unnāḍu
HÒ$	ēmī
V>	gā
Ðóþyìþ	vēḍi
ÐóþyìþV>	vēḍigā
™ðþËÏ	tella
™ðþËÏV>	tellagā
G{Ææÿ	erra
G{ÆæÿV>	erragā
^èþÍ	cali
^èþÍV>	caligā
^èþËÏV>	callagā
^èþËÏ	calla
^èþËÏ°	callani
Ðèþ$…_±âæý$å	maṁci nīḷḷu
±âæý$å	nīḷḷu
´ëË$	pālu
AMæüPÆóÿÏ§æþ$	akkarlēdu
^éË$	cālu
^éË§æþ$	cāladu
^éËÐèþ#	cālavu
C…™èþ	iṁta
A…™èþ	aṁta
»êVæü$…¨	bāguṁdi
